id;Zona_EOD;LETRA;Distancia al centro (Km);m2_Comercio;m2_Educacion;m2_Residencial;m2_Industrial;m2_Servicios;m2_Otros;GSE Alto;GSE Medio Alto;GSE Medio;GSE Medio bajo;GSE Bajo;Ed. Básica y Media;Ed. Superior;Valor de oferta de vivienda (uf/m2) 
1;1;;4,78;12744;6333;78074;61992;10964;13686;0;28;787;282;483;1492;0;
2;2;;3,95;38325;37454;317556;48208;30940;20744;0;715;1422;2111;425;4316;3431;34,79
3;3;;3,9;46434;8041;220002;97680;15723;11143;0;379;625;612;1452;1594;0;32,26
4;4;;2,9;31768;10895;245378;51248;19715;24626;221;1272;450;323;139;1520;0;37,92
5;5;;4,15;11326;4685;59895;67859;6731;19666;0;87;664;72;15;0;0;
6;6;;3,13;8405;8671;172916;45625;8278;6487;0;936;995;564;445;1790;0;32,01
7;7;;1,78;55640;20599;233816;61635;85633;16087;47;365;778;551;642;756;0;30,21
8;8;;1,95;50859;98798;46207;37817;86780;10614;0;18;207;324;74;3653;12709;28,73
9;9;;2,22;13669;1236;164049;28927;6720;7123;130;258;260;416;1166;253;0;
10;10;;8,82;11210;2143;108221;100199;41732;9105;0;163;299;407;935;954;0;
11;11;;8,41;21341;2281;116899;5087;7936;12731;0;131;755;583;582;144;552;
12;12;;7,84;3591;6130;157447;561;1405;1171;0;489;918;488;844;2547;0;
13;13;;7,6;2804;446;75078;403;257;123;0;52;750;725;321;97;0;
14;14;;7,28;4608;7599;95103;3401;2250;673;0;321;441;358;328;766;0;17,27
15;15;;7,08;2793;2515;62713;122;1533;92;0;26;111;197;1200;560;0;
16;16;;8,06;4864;2408;100527;904;2389;424;0;542;971;944;109;276;0;
17;17;;7,33;8967;1899;99598;73084;14011;11799;0;431;348;845;582;826;0;
18;18;;7,09;14921;10198;127144;6562;3847;1919;0;1022;335;820;964;3125;0;
19;19;;6,49;12590;545;181255;2943;4555;2517;0;432;758;928;1748;567;0;
20;20;;6,47;4796;17046;161361;864;1704;2058;0;202;263;417;902;2241;0;
21;21;;6,5;2966;0;62558;30916;3917;3316;0;32;419;508;23;0;0;
22;22;;6,3;5608;2437;161998;3488;2417;732;370;374;540;625;363;1146;0;
23;23;;5,79;45559;10907;178540;44967;14856;13916;0;234;631;76;1056;3829;0;28,96
24;24;;5,63;3007;2549;98597;27862;5551;4749;0;145;1253;376;1409;272;0;
25;25;;5,05;3417;4093;108397;2991;1808;3304;360;189;1;251;927;142;0;
26;26;;5,18;8160;178;65590;18583;6025;1520;298;15;103;182;490;0;0;
27;27;;8,66;2235;2301;92775;315;774;716;0;103;588;781;608;1139;0;
28;28;;8,58;1982;3625;91372;345;222;2321;0;145;886;468;736;837;0;
29;29;;7,87;2069;4075;87321;365;6945;2744;0;35;15;597;331;420;0;
30;30;;7,6;4040;14648;151033;1208;4467;2576;0;427;917;1525;1260;1409;10675;
31;31;;7,06;9575;12245;119698;30764;9122;3328;132;38;784;663;123;3545;0;25,47
32;32;;7,19;638;5011;46068;66;234;886;0;54;281;487;16;0;0;
33;33;;7,43;261;652;65325;1572;441;7436;0;22;104;374;94;0;0;
34;34;;8,88;114030;0;10169;24108;6701;13966;0;4;364;0;8;0;1134;
35;35;;6,49;4257;7288;170296;1632;10078;1874;0;147;1460;1523;680;673;0;
36;36;;6,14;7672;8845;158320;8463;5032;1898;0;554;888;1069;722;1570;0;
37;37;;5,45;14721;3677;291711;6961;6383;2931;0;959;1417;1123;1623;1813;0;
38;38;;5,25;8774;320;105839;8023;2818;917;0;315;259;674;530;209;0;
39;39;;4,64;4217;8792;194598;22540;4446;3078;145;718;1850;581;535;832;0;
40;40;A;4,72;8499;6095;152346;16204;17724;4247;0;706;455;611;178;1371;0;
41;40;B;4,72;4330;2382;65384;17409;5975;1298;0;706;455;631;178;1264;0;29,11
42;41;;4,51;12325;13571;201470;10538;10025;5491;0;290;660;1535;448;2558;0;
43;42;;5,04;15771;4428;115449;51720;14321;8189;0;61;769;1111;33;1341;0;
44;43;;4,37;5393;7879;106342;5428;1257;1197;146;435;1188;530;40;1345;0;
45;44;;3,92;20638;15064;77332;133411;23663;3216;0;511;14;239;226;4018;175;
46;45;;3,84;23745;4726;162011;47284;13930;1925;0;51;389;880;431;934;0;
47;46;;3,91;7474;4678;112741;11308;23280;4840;0;266;314;688;83;434;0;
48;47;;2,69;11616;4180;106985;37766;9019;3268;142;21;682;203;266;548;0;31,10
49;48;;2,43;64474;44901;346568;91525;42098;18275;0;979;1838;1303;590;2092;3470;
50;49;;2,06;32485;17017;207755;89429;67516;29038;142;0;1115;623;102;4992;0;47,68
51;50;;1,3;100628;13047;55912;34212;47632;11265;0;6;7;275;227;23;0;
52;51;;1,28;99499;17143;126339;183398;34482;22822;0;11;557;221;13;2604;0;50,40
53;52;;11,07;243;677;403910;189472;27103;102656;0;86;2392;3601;1316;633;0;30,94
54;53;;8,82;1384;1681;77203;1015;660;6428;0;59;477;589;1323;1740;0;
55;54;;7,85;3849;6964;72945;2619;1247;3060;0;747;315;152;21;1979;0;
56;55;;6,98;2035;3933;108844;267295;53027;144576;0;324;462;971;1237;384;0;
57;56;;8,86;3358;17867;409014;684;3903;2854;0;1024;3253;3204;3489;4026;0;
58;57;;7,72;5639;7808;209946;7100;2786;4664;0;728;1824;1612;640;1703;0;23,45
59;58;;6,68;10408;14136;179240;7593;13016;7143;0;260;1295;1121;300;5592;0;
60;59;;6,47;918;1786;67311;9909;3080;5745;0;218;219;703;553;249;0;
61;60;;5,75;9769;7411;156425;20434;3578;4329;0;37;833;459;217;3797;0;
62;61;;4,27;21679;17784;150672;267726;41387;96178;0;616;878;338;228;805;11452;
63;62;;4,92;5132;7663;140593;16512;4246;2882;0;154;691;802;706;635;1281;
64;63;;11,92;2785;9988;353956;22364;6674;16035;0;125;3979;2392;1896;2588;0;
65;64;;12,17;31050;11270;486773;48561;4431;62844;0;1447;3209;1761;113;5527;0;
66;65;;11,07;206;5018;361738;17;2087;5703;0;80;1671;1713;57;0;0;31,97
67;66;;7,34;3390;3160;206619;4762;45714;25374;1467;762;503;29;316;1568;870;
68;67;;7,2;8835;16444;165432;133786;25102;52575;740;371;226;734;441;5639;0;39,92
69;68;;5,97;7944;8197;133027;1336;7022;1659;0;239;542;754;147;1964;0;
70;69;;5,3;1481;3052;44152;3152;397;771;0;157;211;1;382;238;0;33,46
71;70;;4,66;16357;689;124159;53447;8415;6404;0;15;717;796;168;932;0;
72;71;;4,74;43341;0;58775;24974;11361;11918;0;82;139;525;178;561;0;40,26
73;72;;3,71;127870;12744;134524;46618;18783;40619;0;121;502;728;22;918;0;35,75
74;73;;5,25;4472;8999;157238;9255;37251;2745;0;433;739;489;784;2426;0;36,09
75;74;;4,49;11727;6293;92326;17978;8222;3825;0;94;120;336;8;1165;0;42,82
76;75;;5,54;3464;11145;126062;11228;3168;4083;132;344;367;497;560;1880;0;
77;76;;4,74;7622;826;107658;41897;6379;5384;0;221;72;813;107;280;0;
78;77;;3,82;14920;6281;89235;35066;17310;19741;0;67;456;1273;129;502;0;
79;78;;4,2;4379;9563;41516;88837;11988;10355;0;17;83;335;9;385;0;
80;79;;7,13;2358;4537;129018;254;1064;1331;0;52;1017;693;267;1546;0;
81;80;;6,61;3270;4278;182743;828;1033;1367;79;510;2709;284;1227;566;0;
82;81;;6,01;841;981;95529;565;555;919;0;326;222;545;168;301;0;
83;82;;5,24;3063;8036;151308;659;2948;638;0;107;840;439;1677;1093;0;
84;83;;4,6;21866;266;62807;116030;10158;76112;0;16;369;47;617;0;0;
85;84;;5,75;1226;3206;88835;3535;1532;1039;0;51;338;953;243;467;0;
86;85;;6,49;11412;4244;241063;7927;2288;2573;169;436;874;1666;1482;708;0;
87;86;;5,89;4054;2796;71768;23156;4021;2813;0;12;364;39;371;240;0;
88;87;;5,39;2281;0;68084;11546;1623;874;0;94;51;229;7;1278;0;
89;88;;5,05;2967;5151;109696;948;31702;421;0;256;144;990;161;1194;0;
90;89;;4,27;3574;0;67764;35853;7287;7594;0;22;1140;277;27;0;0;
91;90;;3,24;3770;0;2852;32704;12520;5815;0;4;14;20;0;0;0;
92;91;;6,5;4522;2816;118148;8043;2105;1777;0;183;234;1284;92;691;0;
93;92;;5,85;7642;928;87693;57699;10291;12023;0;23;638;259;132;47;0;
94;93;;5,34;20871;14996;162761;73111;9956;13533;0;535;1187;962;713;3287;0;
95;94;;4,23;23432;5033;142173;105946;18392;10672;0;277;375;521;187;2350;0;
96;95;;3,33;40207;44006;104711;91142;23856;6894;74;460;958;363;31;1780;0;38,68
97;96;;6,09;12999;11244;97142;42793;10318;8336;0;130;266;311;568;4584;0;
98;97;;5,02;12596;1314;85253;50383;7981;6475;0;125;247;338;208;489;0;34,39
99;98;;6,36;6008;2134;78912;6921;2940;1146;0;281;227;230;202;564;0;
100;99;;5,53;10161;997;105263;17400;4040;7174;0;30;544;584;760;448;0;
101;100;;5,05;9553;3415;112169;9880;6488;1497;153;512;555;220;671;594;0;
102;101;;4,24;28562;3541;174921;73931;13544;14183;0;32;283;225;1380;1006;0;37,44
103;102;;5,02;24259;6103;123837;35775;6891;5494;0;195;519;352;203;1679;0;27,43
104;103;;4,29;23974;25180;111674;70332;16943;8373;0;24;570;157;627;3168;0;25,34
105;104;;6,06;3205;800;194019;3165;4007;960;0;95;1033;1847;937;388;0;
106;105;;6,46;4022;2469;39329;1818;13475;1125;0;291;18;204;9;737;0;
107;106;;5,87;11768;2327;145502;6423;4483;2676;0;475;560;563;457;1109;0;
108;107;;8,05;5241;3676;218423;1774;2648;477;0;290;902;1753;1481;605;0;
109;108;;7,18;18069;2858;122139;718;13217;2040;0;286;280;1094;636;801;40;
110;109;;6,42;3000;3818;117239;654;955;81;155;159;778;541;1298;428;0;
111;110;;7,57;3436;11547;80281;18753;28051;1543;0;137;368;152;373;2054;0;
112;111;;6,71;641;1092;39780;76;0;71;0;163;83;68;380;399;0;
113;112;;6,1;7812;4146;173034;4004;7815;1041;37;623;1130;650;1021;627;0;
114;113;;5,74;1295;3254;71732;915;1039;672;0;130;256;445;243;2475;0;
115;114;A;11,92;3630;8641;173589;95384;49185;30665;0;143;2605;3997;3551;1701;0;38,93
116;114;B;11,92;8550;3794;218805;2652;3717;3065;0;143;2597;3997;3839;2594;0;
117;115;;10,1;2763;2984;118448;1899;1564;1986;0;50;947;961;145;1230;0;
118;116;;9,59;6979;1136;155465;1086;1009;2710;0;152;1204;1158;600;267;0;
119;117;;8,83;1272;2131;89971;163;738;251;0;60;730;764;1126;1816;0;
120;118;;10,13;6141;19289;86509;6711;3764;3006;0;230;606;942;33;1366;0;
121;119;;9,34;8663;9715;111911;4441;12690;4185;0;66;355;1239;488;5911;0;
122;120;;8,69;3508;1955;73633;160;1555;414;0;178;1317;174;29;431;0;
123;121;;10,5;9155;8284;221705;21522;6020;8346;37;248;1594;2042;2248;2739;0;39,91
124;122;;8,93;2333;2914;127076;1170;19160;2174;0;249;914;1060;695;389;0;
125;123;;11,16;1612;3373;185500;190;1822;260;0;208;664;2136;2382;710;0;
126;124;;10,14;3904;7967;160776;179;4412;1148;0;322;1443;1350;944;2204;0;
127;125;;9,66;5677;4387;130242;639;917;757;0;102;1021;1087;880;528;0;
128;126;;8,53;5443;8002;153949;1284;3779;1480;16;500;727;1705;932;1396;0;
129;127;;7,76;1315;1954;60392;112;704;104;0;52;416;889;469;343;0;
130;128;;7,06;1677;2555;61839;22890;2337;8460;0;96;178;981;404;0;0;
131;129;;9,13;6317;5288;95202;307;1409;1326;0;210;714;693;570;2285;0;
132;130;;7,75;2433;5232;59382;1335;1324;1584;0;133;685;176;360;1615;0;
133;131;;8,97;8032;10310;164445;1943;4144;2343;0;319;951;1165;568;1555;0;
134;132;;7,82;272;132;181683;64;1624;2422;0;1216;1071;1044;409;0;0;
135;133;;7,25;9368;572;46593;347911;60965;135348;236;102;11;96;8;0;0;
136;134;A;10,15;9597;5566;722163;1563;1971;9034;171;2146;4561;4744;3580;2768;14100;30,97
137;134;B;10,15;4054;8881;166922;4083;1108;5288;171;2146;4561;4728;3013;1895;0;
138;135;;9,3;2693;10084;127249;12639;3049;4425;0;303;680;1007;862;2517;0;
139;136;;9,83;12905;21840;179886;122215;21477;27604;0;361;1433;1241;748;3714;0;31,00
140;137;;10,86;1443;6725;141209;270;1710;3262;0;446;408;1269;437;846;0;
141;138;;9,51;20109;442;190706;3938;1661;48799;0;368;3937;1;69;0;0;36,89
142;139;;13,69;0;0;16488;644840;1247;0;0;0;0;265;0;0;0;43,00
143;140;;8,98;9423;5482;575724;165;2492;3617;286;3169;4019;1840;999;5057;0;
144;141;;13;4476;10813;182894;254;1370;416;185;248;609;1147;488;1953;0;
145;142;;12,07;35880;17996;191178;5723;17684;17853;0;354;1243;1024;509;6716;0;34,64
146;143;;11,52;35513;18573;134461;1461;51870;23615;808;537;167;2;940;4659;3158;
147;144;;11,09;3073;3018;98705;1069;8872;7821;0;481;636;331;26;1311;0;
148;145;;11,76;3192;16465;132483;1192;4183;925;0;22;313;170;681;2414;5507;
149;146;;11,28;3256;11610;143265;977;1926;1616;0;367;951;540;34;2949;0;
150;147;;13,42;4607;10671;150410;1443;1186;593;0;65;198;957;1122;3247;0;
151;148;;14,04;6289;4221;95245;807;740;1238;0;452;517;560;28;2496;0;
152;149;;14,3;3035;3834;143369;905;469;781;0;381;1053;939;44;4139;0;
153;150;;13,22;54015;47850;154804;4867;9621;11332;0;655;504;412;29;10078;0;
154;151;;13,04;23909;13019;265144;85335;24582;25885;39;281;2487;1021;649;3055;12160;
155;152;;11,81;15748;372;11428;112450;10100;175010;0;22;7;502;10;459;0;
156;153;;15,05;8721;16003;454696;9339;7554;21047;0;1453;3960;1267;1416;6928;0;30,41
157;154;;15;6726;15752;1105277;149;3287;3600;0;2458;6591;8931;3559;8538;0;
158;155;;2,28;52014;55983;167172;53810;108528;32590;0;409;624;372;147;2698;46732;
159;156;;4,06;8219;9021;213385;7437;93105;22691;1025;420;345;1;30;0;2961;76,23
160;157;;3,18;67330;15285;225185;16746;166066;10920;199;328;1667;118;43;619;0;
161;158;;3,99;88283;5563;108987;11968;149759;5160;258;73;298;49;10;1317;0;
162;159;;1,71;52427;18966;231083;10360;126211;15134;247;871;25;22;557;1097;11168;
163;160;;2,59;59903;39052;340907;19378;266819;14433;2119;3110;1607;2;132;3423;13653;64,33
164;161;A;4,22;102947;18795;599774;34697;233063;21697;1349;2639;2058;514;125;1902;11799;80,48
165;161;B;4,22;10767;384;5132;760;4792;90;1349;2595;2058;514;125;0;0;
166;162;;4,92;51200;26136;341080;21560;124747;8371;1119;935;785;578;66;3410;3179;
167;163;;1,91;64174;8597;228715;23783;106117;11542;0;330;1276;246;33;1553;5919;49,57
168;164;;2,7;66718;23134;391312;41777;70356;16565;310;1797;206;366;48;3365;10510;50,16
169;165;;3,49;40481;55224;556698;29693;78845;32685;87;2457;962;530;1427;1304;36247;65,17
170;166;;4,17;16201;21116;378509;19525;41799;6229;75;2260;840;660;68;24;4087;78,66
171;167;;5,17;7303;1236;630595;29507;25446;5723;994;2163;2390;1104;320;806;29;75,76
172;168;;5,14;16766;31302;337606;10735;20173;8547;1768;1206;133;1;58;3169;0;71,74
173;169;;5,4;13462;27415;343982;10733;11326;14091;1663;536;986;205;65;1929;2229;
174;170;;7,11;27275;383;173494;10612;26568;22767;360;240;46;0;13;0;0;85,36
175;171;;6,88;39553;10881;297812;14987;38403;52327;799;263;111;152;26;634;0;88,88
176;172;;7,77;15045;16761;327030;12746;30798;27378;2934;183;48;73;62;2100;983;88,55
177;173;;8,62;20094;2092;248056;9239;11345;32340;974;520;168;1;32;504;0;
178;174;;9,45;23092;12711;205802;6521;16104;33018;947;80;15;0;21;1804;0;
179;175;;10,3;50019;6554;245312;9250;9404;32592;670;906;269;1;35;858;0;
180;176;A;11,52;5825;8557;320897;12324;2825;37786;1380;770;222;13;179;1801;0;69,94
181;176;B;11,52;11966;1991;106661;1908;2287;9819;1295;770;222;13;179;224;0;75,84
182;177;;7,9;15371;9072;466236;24852;47214;28610;2158;409;143;1;46;1144;0;68,77
183;178;;9,27;28337;10432;138352;3264;9887;43564;1012;217;285;1;28;716;138;73,43
184;179;;12,06;9926;1279;259111;12444;7319;18139;1617;355;111;1;41;0;0;74,50
