ID;AREA;Zona;Com;Comuna;PERIMETER
103;457564,8949;103;13105;El Bosque;2913,3557
104;772546,1619;104;13105;El Bosque;4348,343844
106;2695745,044;106;13105;El Bosque;7028,53391
115;753419,2986;115;13105;El Bosque;3700,486222
116;718430,5282;116;13105;El Bosque;3537,818994
194;867037,034;194;13110;La Florida;3705,924344
195;1063712,327;195;13110;La Florida;4486,754695
208;967046,7856;208;13110;La Florida;3958,424384
210;694739,9771;210;13110;La Florida;3823,992843
233;-1078819,145;233;13110;La Florida;4312,90454
247;1203395,8;247;13111;La Granja;4354,674688
248;931049,2983;248;13111;La Granja;4111,851889
387;6307457,7;387;13119;Maipú;11322,51158
391;4947296,913;391;13119;Maipú;10272,64137
392;7452231,552;392;13119;Maipú;12312,02394
418;4163265,54;418;13119;Maipú;9685,786022
660;661632,4778;660;13131;San Ramón;4356,674825
663;558117,7343;663;13131;San Ramón;2968,640966
664;672197,0671;664;13131;San Ramón;3384,310305
694;22189706,11;694;13201;Puente Alto;24603,53429
695;4464452,547;695;13201;Puente Alto;8415,330798
699;1211912,913;699;13201;Puente Alto;5271,53098
767;3020126,77;767;13401;San Bernardo;7951,430508
777;13547311,97;777;13401;San Bernardo;16832,62813
778;8105678,222;778;13401;San Bernardo;11457,95704
779;2877346,865;779;13401;San Bernardo;8769,512382
812;194766394,3;812;13501;Melipilla;71779,85228
851;1391961,977;851;13604;Padre Hurtado;5151,835374
853;11729455,01;853;13604;Padre Hurtado;21849,38442
854;52444329,83;854;13604;Padre Hurtado;38737,24871
811;101344938,6;811;13501;Melipilla;53394,29785
813;428917869,6;813;13501;Melipilla;99024,92172
814;98512996,14;814;13501;Melipilla;50287,05528
815;304333630,7;815;13501;Melipilla;97773,788
817;113966342,6;817;13501;Melipilla;49966,13676
782;46900953,46;782;13401;San Bernardo;38385,75224
786;9659826,04;786;13402;Buin;17813,5444
790;16005215,35;790;13402;Buin;17844,33025
791;60834477,25;791;13402;Buin;37864,90474
794;9420555,016;794;13403;Calera de Tango;12477,09086
796;7101630,691;796;13403;Calera de Tango;10928,26728
797;3725900,802;797;13403;Calera de Tango;10593,00153
798;6046478,395;798;13403;Calera de Tango;15675,20867
799;896932,8758;799;13403;Calera de Tango;6245,454495
800;6019614,142;800;13403;Calera de Tango;10227,23052
801;3261777,313;801;13403;Calera de Tango;8968,442699
802;6162319,098;802;13403;Calera de Tango;10794,98756
803;8366162,088;803;13403;Calera de Tango;13002,44305
832;2337736,338;832;13602;El Monte;7218,12428
834;36756752,11;834;13602;El Monte;24116,618
835;19638918,38;835;13602;El Monte;20031,47804
844;43841897,07;844;13603;Isla de Maipo;34076,60076
804;482963,7581;804;13501;Melipilla;4108,796404
806;2308460,036;806;13501;Melipilla;9721,459343
807;2446553,736;807;13501;Melipilla;8553,219439
809;11324750,82;809;13501;Melipilla;20185,20373
810;7603045,597;810;13501;Melipilla;17749,60277
816;71564683,44;816;13501;Melipilla;39779,25916
808;3496116,301;808;13501;Melipilla;10124,88732
805;844392,882;805;13501;Melipilla;3886,266302
818;50900536,14;818;13601;Talagante;32959,48956
820;5381458,195;820;13601;Talagante;10483,84687
821;6491916,591;821;13601;Talagante;13228,21964
824;2722957,015;824;13601;Talagante;7800,156535
825;4863966,03;825;13601;Talagante;12061,87582
826;16017566,88;826;13601;Talagante;21263,66865
827;28365817,83;827;13601;Talagante;27957,40117
830;2475686,363;830;13602;El Monte;7522,691063
831;4983674,572;831;13602;El Monte;12645,99527
833;2480975,761;833;13602;El Monte;8092,023213
839;2128826,959;839;13603;Isla de Maipo;7914,857052
840;3076158,399;840;13603;Isla de Maipo;7749,288663
842;2013257,456;842;13603;Isla de Maipo;9963,436388
843;28593445,93;843;13603;Isla de Maipo;28948,75499
847;4437041,593;847;13603;Isla de Maipo;10057,52648
861;892698,0017;861;13605;Peñaflor;3842,950179
864;36105135,15;864;13605;Peñaflor;32539,00577
845;63759839,93;845;13603;Isla de Maipo;36616,98809
836;2906142,631;836;13602;El Monte;9643,636495
837;45497864,71;837;13602;El Monte;29780,42707
823;1687671,338;823;13601;Talagante;6689,567656
829;1883871,568;829;13601;Talagante;6383,645523
841;2778521,339;841;13603;Isla de Maipo;12019,33147
846;36883793,74;846;13603;Isla de Maipo;32439,46906
838;1615194,673;838;13603;Isla de Maipo;6437,115272
819;716356,1758;819;13601;Talagante;3413,100955
793;4995059,36;793;13403;Calera de Tango;9755,283725
795;14951057,15;795;13403;Calera de Tango;17160,59278
859;2214029,912;859;13605;Peñaflor;9261,348278
860;3270958,572;860;13605;Peñaflor;8915,065129
863;506279,8773;863;13605;Peñaflor;3631,508426
865;14648160,7;865;13605;Peñaflor;23227,72609
822;962270,1851;822;13601;Talagante;4350,986412
828;6174777,908;828;13601;Talagante;11682,54424
862;795146,7593;862;13605;Peñaflor;4062,010898
857;1895827,561;857;13605;Peñaflor;6444,19179
866;6826848,345;866;13605;Peñaflor;12605,18386
856;1393264,531;856;13605;Peñaflor;5687,089967
858;1839330,583;858;13605;Peñaflor;6729,660198
848;5183374,499;848;13604;Padre Hurtado;10144,41366
849;3371335,034;849;13604;Padre Hurtado;9765,146126
850;1145216,222;850;13604;Padre Hurtado;4742,115885
855;2077342,656;855;13604;Padre Hurtado;7095,014643
852;3222852,106;852;13604;Padre Hurtado;7238,431799
709;892184,3393;709;13201;Puente Alto;3927,404149
723;4911945,229;723;13201;Puente Alto;13284,46377
727;113892211,6;727;13202;Pirque;45908,16064
250;1227533,971;250;13112;La Pintana;5187,466834
251;1027107,259;251;13112;La Pintana;4693,338147
252;3408603,442;252;13112;La Pintana;7912,733037
256;5866676,041;256;13112;La Pintana;11451,69293
257;3374215,202;257;13112;La Pintana;9445,207727
258;805142,3481;258;13112;La Pintana;3914,57449
261;782513,2637;261;13112;La Pintana;3764,112389
770;18365949,35;770;13401;San Bernardo;20968,42921
792;69632733,75;792;13402;Buin;40852,26392
785;9763108,24;785;13402;Buin;12810,43875
789;31798639,01;789;13402;Buin;31053,5645
783;2932573,884;783;13402;Buin;7426,412221
784;307968,9378;784;13402;Buin;2379,95933
787;5518379,54;787;13402;Buin;11411,66115
788;4290577,198;788;13402;Buin;9790,495849
758;1839122,04;758;13401;San Bernardo;6501,217364
764;2634298,17;764;13401;San Bernardo;7246,491238
765;5086812,896;765;13401;San Bernardo;9473,816267
766;24228963,87;766;13401;San Bernardo;27392,68478
768;1120071,859;768;13401;San Bernardo;4596,248208
769;1650409,219;769;13401;San Bernardo;5566,16528
775;910138,2128;775;13401;San Bernardo;4388,730948
776;531368,0833;776;13401;San Bernardo;4263,202098
781;12402237,93;781;13401;San Bernardo;16943,82254
109;660861,8673;109;13105;El Bosque;3418,037605
110;488474,0721;110;13105;El Bosque;2887,696861
118;941275,145;118;13105;El Bosque;4284,054984
119;733642,0551;119;13105;El Bosque;3733,564438
760;1194740,041;760;13401;San Bernardo;4450,679037
761;1149147,753;761;13401;San Bernardo;5833,351393
762;980545,2332;762;13401;San Bernardo;4572,973957
763;1630812,157;763;13401;San Bernardo;5103,253844
772;721766,2875;772;13401;San Bernardo;4148,049078
773;1575270,873;773;13401;San Bernardo;5935,987417
771;1785875,141;771;13401;San Bernardo;7026,979444
774;713092,4245;774;13401;San Bernardo;3600,797463
108;411179,9564;108;13105;El Bosque;3862,399724
759;968830,4983;759;13401;San Bernardo;4449,942096
780;868335,1705;780;13401;San Bernardo;3983,591905
111;667310,9984;111;13105;El Bosque;3802,450181
112;983703,1731;112;13105;El Bosque;4576,30609
113;1637225,83;113;13105;El Bosque;5143,491402
259;825114,7465;259;13112;La Pintana;3887,357018
192;584288,5404;192;13110;La Florida;3222,654147
255;3503167,402;255;13112;La Pintana;7518,042906
685;4257515,952;685;13201;Puente Alto;8947,294168
688;1583186,633;688;13201;Puente Alto;5315,355219
690;732771,4126;690;13201;Puente Alto;3717,353785
691;352869,2782;691;13201;Puente Alto;3023,70406
693;752097,0676;693;13201;Puente Alto;3695,621379
697;2749647,361;697;13201;Puente Alto;6777,837378
703;1134290,25;703;13201;Puente Alto;5260,170271
704;411783,2645;704;13201;Puente Alto;3052,994691
706;2524168,932;706;13201;Puente Alto;7671,709971
707;1253425,19;707;13201;Puente Alto;5392,110054
714;964715,8337;714;13201;Puente Alto;4638,011439
715;2829192,997;715;13201;Puente Alto;7707,656386
716;655587,6342;716;13201;Puente Alto;3767,26506
717;296892,472;717;13201;Puente Alto;2695,412126
718;402178,6788;718;13201;Puente Alto;2961,775608
719;462731,3686;719;13201;Puente Alto;2871,226243
721;359010,6339;721;13201;Puente Alto;2496,425726
724;590775,7555;724;13201;Puente Alto;3499,135361
686;2122283,673;686;13201;Puente Alto;7468,691163
692;325802,5858;692;13201;Puente Alto;2558,369697
253;2155878,91;253;13112;La Pintana;6254,422982
254;1724939,701;254;13112;La Pintana;5931,418097
262;3731005,599;262;13112;La Pintana;7793,498793
264;877842,7939;264;13112;La Pintana;3924,31364
689;2662941,458;689;13201;Puente Alto;6848,25172
705;4109561,788;705;13201;Puente Alto;9771,148887
687;620331,08;687;13201;Puente Alto;3157,568541
260;1196254,029;260;13112;La Pintana;4601,742409
263;536104,5765;263;13112;La Pintana;2940,260947
708;967707,4739;708;13201;Puente Alto;4006,413364
720;217306,428;720;13201;Puente Alto;1877,260589
209;1257344,335;209;13110;La Florida;4623,321919
211;1119546,78;211;13110;La Florida;4395,456413
696;1961806,527;696;13201;Puente Alto;5579,710993
698;2067523,029;698;13201;Puente Alto;6665,619699
711;1837116,469;711;13201;Puente Alto;7045,316762
722;1361388,011;722;13201;Puente Alto;5254,363184
725;5378793,573;725;13201;Puente Alto;11252,08049
726;2238489,85;726;13201;Puente Alto;7230,78531
710;3164215,4;710;13201;Puente Alto;7204,953825
712;566389,9146;712;13201;Puente Alto;3204,277688
713;457015,4793;713;13201;Puente Alto;3343,896608
204;884083,201;204;13110;La Florida;4401,422423
700;914317,1507;700;13201;Puente Alto;4171,923558
701;1628517,573;701;13201;Puente Alto;6487,720044
702;399615,261;702;13201;Puente Alto;2568,726844
77;2953670,631;77;13103;Cerro Navia;8587,154917
383;907260,7656;383;13119;Maipú;4142,721819
384;655541,5459;384;13119;Maipú;3494,637356
388;2673965,642;388;13119;Maipú;7754,257923
393;1295926,519;393;13119;Maipú;4678,063277
396;1071244,231;396;13119;Maipú;4438,457184
397;12735777,09;397;13119;Maipú;17546,73705
398;7245809,629;398;13119;Maipú;12385,11063
399;850955,4135;399;13119;Maipú;4916,675333
400;958634,6136;400;13119;Maipú;4107,073643
524;2515064,813;524;13124;Pudahuel;6676,026061
525;1497776,521;525;13124;Pudahuel;6415,423839
538;4950691,661;538;13124;Pudahuel;10663,47401
539;20275857,87;539;13124;Pudahuel;21436,95706
547;12692041,02;547;13125;Quilicura;16036,02484
618;8100829,713;618;13128;Renca;14152,27437
740;43785688,67;740;13301;Colina;29577,29292
746;119431060;746;13301;Colina;42476,36802
747;39324030,19;747;13302;Lampa;26561,00838
749;13029214,83;749;13302;Lampa;15487,56382
750;23977062,32;750;13302;Lampa;28096,52229
752;78670141,98;752;13302;Lampa;48585,80145
753;26620309,64;753;13302;Lampa;28436,4522
754;9156199,161;754;13302;Lampa;15013,71672
395;56843814,27;395;13119;Maipú;34680,09524
540;23814900;540;13124;Pudahuel;20086,87219
541;26407959,17;541;13124;Pudahuel;21603,99292
394;12129241,76;394;13119;Maipú;14582,54844
385;1343228,524;385;13119;Maipú;4979,489752
386;2011629,874;386;13119;Maipú;5889,879584
389;1398201,698;389;13119;Maipú;5344,254823
536;42815610,84;536;13124;Pudahuel;38281,11363
755;48822150,03;755;13302;Lampa;28412,88625
537;6219716,994;537;13124;Pudahuel;11545,42827
751;2234870,987;751;13302;Lampa;5737,916949
232;10559626,92;232;13110;La Florida;19815,04477
275;4709816,531;275;13113;La Reina;9819,107851
298;1943656,436;298;13114;Las Condes;5651,422498
302;4091854,054;302;13114;Las Condes;9120,337464
308;4883395,509;308;13114;Las Condes;11076,78025
310;5046867,654;310;13114;Las Condes;11545,32956
316;2987184,836;316;13114;Las Condes;9366,210477
326;24713152,78;326;13115;Lo Barnechea;35401,97511
327;1224035,979;327;13115;Lo Barnechea;5859,116655
331;2260934,429;331;13115;Lo Barnechea;6222,940001
333;2609874,364;333;13115;Lo Barnechea;7293,153881
334;589665,0004;334;13115;Lo Barnechea;5265,523046
336;761562,9371;336;13115;Lo Barnechea;3842,669647
480;3216352,627;480;13122;Peñalolén;9840,508866
481;3736853,74;481;13122;Peñalolén;9418,014612
491;2737279,785;491;13122;Peñalolén;8945,535474
492;5562881,178;492;13122;Peñalolén;10526,17361
493;6464006,325;493;13122;Peñalolén;11933,68484
728;11592914,53;728;13301;Colina;14862,61669
729;8457444,149;729;13301;Colina;13341,76835
742;148274472,6;742;13301;Colina;64019,88306
743;4575143,306;743;13301;Colina;13974,01993
744;142584381,9;744;13301;Colina;59084,45487
745;46061818,34;745;13301;Colina;34457,02064
756;11524395,05;756;13302;Lampa;14971,6595
19;317552,839;19;13101;Santiago;2316,982012
20;362555,1248;20;13101;Santiago;2453,702959
21;231599,2239;21;13101;Santiago;2002,320839
30;530379,5682;30;13101;Santiago;2995,094608
31;674381,7858;31;13101;Santiago;3481,08438
42;328724,8953;42;13101;Santiago;2309,983402
47;236711,4335;47;13101;Santiago;1959,616121
48;400589,2359;48;13101;Santiago;2562,512719
72;809834,5784;72;13103;Cerro Navia;3555,494968
73;716774,5773;73;13103;Cerro Navia;4016,980589
75;525754,876;75;13103;Cerro Navia;3132,945239
76;818583,8921;76;13103;Cerro Navia;4483,821976
78;891843,7344;78;13103;Cerro Navia;4398,479271
79;826946,3211;79;13103;Cerro Navia;4335,746295
81;591345,3406;81;13103;Cerro Navia;3918,674316
82;1048796,283;82;13103;Cerro Navia;4175,518386
143;3823546,518;143;13107;Huechuraba;10169,15559
152;26012013,8;152;13107;Huechuraba;31480,66492
164;361346,5184;164;13108;Independencia;2415,980017
167;528912,3878;167;13108;Independencia;3695,76319
169;429584,6192;169;13108;Independencia;2907,787919
171;568923,659;171;13108;Independencia;4380,350858
172;719687,0697;172;13109;La Cisterna;3693,383313
187;404037,4;187;13109;La Cisterna;3190,535591
188;567550,1381;188;13109;La Cisterna;3453,785777
289;711902,0712;289;13114;Las Condes;3872,459214
291;899536,4849;291;13114;Las Condes;3932,681702
293;1435317,106;293;13114;Las Condes;5099,521583
294;1486124,266;294;13114;Las Condes;5385,764762
303;827057,7037;303;13114;Las Condes;4045,29536
304;727847,6679;304;13114;Las Condes;3778,114533
305;887004,4662;305;13114;Las Condes;4221,840335
322;850973,9777;322;13114;Las Condes;3807,579835
497;724023,9016;497;13123;Providencia;3463,064886
498;412670,5003;498;13123;Providencia;3804,670377
499;331786,1703;499;13123;Providencia;2643,13244
506;2487756,867;506;13123;Providencia;7723,550364
507;555176,7368;507;13123;Providencia;3092,634707
508;423160,0802;508;13123;Providencia;2730,840558
515;1029053,406;515;13123;Providencia;4606,246283
558;473130,6302;558;13126;Quinta Normal;3188,846336
559;584264,3114;559;13126;Quinta Normal;3238,568591
563;941725,8601;563;13126;Quinta Normal;4928,533309
564;443972,861;564;13126;Quinta Normal;2829,810435
565;344149,6577;565;13126;Quinta Normal;2595,704008
