Año,Hidráulica,Carbón,Diésel,Gas Natural,Fuel Oil,Petcoke,Cogeneración,Biogás,Biomasa,Eólica,Solar,Termosolar,Geotérmica,TOTAL
2000,"  18.481,0 ","  8.921,1 ","  454,6 ","  9.973,7 ",  - ,"  509,9 ","  73,9 ",  - ,"  489,7 ",  - ,  - ,  - ,  - ,"  38.904,0 "
2001,"  21.028,1 ","  5.736,0 ","  202,3 ","  12.789,3 ",  - ,"  523,7 ","  72,0 ",  - ,"  265,1 ",  - ,  - ,  - ,  - ,"  40.616,5 "
2002,"  22.497,7 ","  6.424,5 ","  159,4 ","  12.471,0 ",  - ,"  477,3 ","  93,1 ",  - ,"  247,8 ",  - ,  - ,  - ,  - ,"  42.370,9 "
2003,"  21.837,1 ","  6.138,7 ","  226,4 ","  16.120,4 ",  - ,"  482,9 ","  87,1 ",  - ,"  239,6 ",  - ,  - ,  - ,  - ,"  45.132,2 "
2004,"  20.874,8 ","  8.902,9 ","  611,1 ","  17.412,5 ",  - ,"  526,2 ","  79,4 ",  - ,"  267,0 ",  - ,  - ,  - ,  - ,"  48.673,9 "
2005,"  25.419,4 ","  8.450,5 ","  739,6 ","  15.437,4 ",  - ,"  366,0 ","  77,0 ",  - ,"  132,2 ",  - ,  - ,  - ,  - ,"  50.622,0 "
2006,"  28.034,3 ","  11.610,0 ","  394,2 ","  12.457,9 ",  - ,"  484,5 ","  102,1 ",  - ,"  492,7 ",  - ,  - ,  - ,  - ,"  53.575,8 "
2007,"  22.290,5 ","  14.423,2 ","  2.334,3 ","  15.739,3 ",  - ,"  484,4 ",  - ,  - ,"  711,1 ","  2,8 ",  - ,  - ,  - ,"  55.985,6 "
2008,"  23.752,1 ","  14.800,4 ","  2.512,8 ","  14.326,2 ",  - ,"  493,9 ",  - ,  - ,"  454,6 ","  30,8 ",  - ,  - ,  - ,"  56.370,8 "
2009,"  24.503,9 ","  15.263,0 ","  1.904,0 ","  13.896,4 ",  - ,"  482,1 ",  - ,  - ,"  581,2 ","  66,4 ",  - ,  - ,  - ,"  56.696,9 "
2010,"  21.230,8 ","  17.500,1 ","  1.858,5 ","  16.762,0 ","  32,5 ","  61,4 ",  - ,  - ,"  494,7 ","  318,5 ",  - ,  - ,  - ,"  58.258,4 "
2011,"  20.722,1 ","  21.186,2 ","  2.651,0 ","  16.134,2 ","  170,2 ","  349,1 ",  - ,  - ,"  502,9 ","  315,2 ",  - ,  - ,  - ,"  62.030,9 "
2012,"  20.202,3 ","  26.335,9 ","  1.675,9 ","  14.757,0 ","  165,3 ","  543,9 ","  25,0 ","  100,5 ","  1.532,4 ","  389,7 ","  0,6 ",  - ,  - ,"  65.728,4 "
2013,"  19.608,3 ","  31.053,8 ","  1.700,9 ","  12.580,3 ","  121,9 ","  495,4 ","  120,7 ","  199,2 ","  1.738,4 ","  548,2 ","  7,8 ",  - ,  - ,"  68.175,0 "
2014,"  23.550,3 ","  28.362,1 ","  2.003,9 ","  10.877,4 ","  81,0 ","  529,8 ","  122,2 ","  286,8 ","  2.265,3 ","  1.426,0 ","  464,4 ",  - ,  - ,"  69.969,0 "
2015,"  23.906,5 ","  28.097,9 ","  912,6 ","  12.247,9 ","  91,0 ","  505,1 ","  133,9 ","  259,9 ","  2.124,3 ","  2.104,1 ","  1.373,5 ",  - ,  - ,"  71.756,6 "
2016,"  19.462,9 ","  31.953,8 ","  1.754,2 ","  12.069,5 ","  37,8 ","  497,1 ","  131,1 ","  255,0 ","  2.395,7 ","  2.251,9 ","  2.563,5 ",  - ,  - ,"  73.372,6 "
2017,"  21.808,2 ","  28.949,0 ","  715,3 ","  12.170,3 ","  24,1 ","  436,6 ","  135,5 ","  267,0 ","  2.198,3 ","  3.551,7 ","  3.902,3 ",  - ,"  63,8 ","  74.222,2 "
2018,"  23.208,5 ","  28.868,4 ","  287,8 ","  11.709,2 ","  5,4 ","  437,8 ","  140,5 ","  230,5 ","  2.164,8 ","  4.020,7 ","  5.452,1 ",  - ,"  213,8 ","  76.739,5 "
2019,"  20.829,9 ","  28.398,7 ","  289,5 ","  14.131,0 ","  1,3 ","  392,5 ","  130,2 ","  213,5 ","  1.608,9 ","  4.818,1 ","  6.380,8 ",  - ,"  201,6 ","  77.395,9 "
2020,"  20.629,2 ","  27.014,4 ","  547,7 ","  13.710,3 ","  8,4 ","  341,5 ","  183,4 ","  170,3 ","  1.709,2 ","  5.538,8 ","  7.637,6 ",  - ,"  246,9 ","  77.737,7 "
2021,"  16.477,2 ","  27.665,9 ","  1.829,8 ","  14.487,3 ","  27,9 ","  353,8 ","  310,4 ","  143,0 ","  1.874,4 ","  7.209,9 ","  10.632,8 ","  153,9 ","  325,6 ","  81.492,0 "
2022,"  20.306,5 ","  19.157,0 ","  1.474,9 ","  15.840,4 ","  27,1 ","  284,6 ","  278,2 ","  141,4 ","  1.753,9 ","  8.833,7 ","  14.228,1 ","  280,4 ","  448,0 ","  83.054,2 "
2023,"  23.944,0 ","  13.983,4 ","  485,9 ","  15.455,0 ","  1,3 ","  383,4 ","  407,6 ","  159,2 ","  1.806,7 ","  9.911,1 ","  16.074,8 ","  587,0 ","  437,9 ","  83.637,1 "
