,Unnamed: 0.1,Unnamed: 0,Frame,id,xmin,xmax,ymin,ymax,Predictions kNN=16,Predictions RF,Predictions SVM
0,0,0,1,8a6a1ca1-0334-42e0-a8da-e8885b227edd,1403,1499,610,796,1,1,1
1,1,1,1,8a6a1ca1-0334-42e0-a8da-e8885b227edd,1380,1395,629,644,1,1,1
2,2,2,1,16efc76c-fdcc-4050-837d-797e94083959,929,956,385,412,0,0,0
3,3,3,2,8a6a1ca1-0334-42e0-a8da-e8885b227edd,1416,1503,606,783,1,1,1
4,4,4,2,8a6a1ca1-0334-42e0-a8da-e8885b227edd,1383,1404,622,640,1,1,1
5,5,5,2,8a6a1ca1-0334-42e0-a8da-e8885b227edd,933,966,376,409,0,0,0
6,6,6,3,8a6a1ca1-0334-42e0-a8da-e8885b227edd,-38,100,891,1023,1,1,0
7,7,7,3,8a6a1ca1-0334-42e0-a8da-e8885b227edd,-12,24,920,947,1,1,0
8,8,8,3,8a6a1ca1-0334-42e0-a8da-e8885b227edd,1471,1576,540,735,1,1,1
9,9,9,3,8a6a1ca1-0334-42e0-a8da-e8885b227edd,1446,1482,550,586,1,1,1
10,10,10,3,8a6a1ca1-0334-42e0-a8da-e8885b227edd,1003,1042,311,347,0,0,0
11,11,11,4,8a6a1ca1-0334-42e0-a8da-e8885b227edd,1765,1813,913,937,1,1,1
12,12,12,4,8a6a1ca1-0334-42e0-a8da-e8885b227edd,1773,1800,893,923,1,1,1
13,13,13,4,8a6a1ca1-0334-42e0-a8da-e8885b227edd,123,153,882,921,1,1,1
14,14,14,4,8a6a1ca1-0334-42e0-a8da-e8885b227edd,35,185,811,958,1,1,1
15,15,15,4,8a6a1ca1-0334-42e0-a8da-e8885b227edd,59,113,832,892,1,1,1
16,16,16,4,68dadc29-62c0-43b5-8b0c-56c8aa0a725a,-1,29,665,692,1,1,0
17,17,17,4,8a6a1ca1-0334-42e0-a8da-e8885b227edd,1522,1633,491,686,1,1,1
18,18,18,4,8a6a1ca1-0334-42e0-a8da-e8885b227edd,1007,1052,301,343,1,1,0
19,19,19,4,8a6a1ca1-0334-42e0-a8da-e8885b227edd,378,381,313,316,1,1,1
20,20,20,4,8a6a1ca1-0334-42e0-a8da-e8885b227edd,1490,1520,120,147,1,1,1
21,21,21,5,8a6a1ca1-0334-42e0-a8da-e8885b227edd,46,181,816,948,1,1,1
22,22,22,5,8a6a1ca1-0334-42e0-a8da-e8885b227edd,76,97,852,873,1,1,1
23,23,23,5,323c27eb-2dfb-4feb-a301-ae3edaadf6c6,4,25,668,689,1,1,1
24,24,24,5,323c27eb-2dfb-4feb-a301-ae3edaadf6c6,1531,1630,492,681,1,1,1
25,25,25,5,73ccbb59-f276-4f08-8de8-6a966629ed76,1498,1543,497,539,1,1,1
26,26,26,5,39d64feb-a5a3-4fc1-8ab5-7e1e5a398576,1059,1095,261,300,0,0,0
27,27,27,5,1094d4e3-337a-4b71-a589-ba8eef060d36,1566,1569,76,79,1,1,1
28,28,28,6,332e6592-c26c-4abf-81f4-a52eadcfe222,132,267,741,873,1,1,1
29,29,29,6,10b7aa23-b903-447a-a7f4-c6f987354a87,163,187,774,795,1,1,1
30,30,30,6,a9482721-d3a7-43c3-9306-381d54863cf5,81,105,600,624,1,1,0
31,31,31,6,746ec795-a6c4-4a55-9c41-c880c5bc58f3,1607,1709,421,616,1,1,1
32,32,32,6,8d7d0233-b970-412f-8936-944259da39fb,1582,1621,429,462,1,1,1
33,33,33,6,c1e80261-71a8-4685-a961-40007c3e6153,1138,1165,202,229,0,0,0
34,34,34,7,10b7aa23-b903-447a-a7f4-c6f987354a87,142,277,733,865,1,1,1
35,35,35,7,10b7aa23-b903-447a-a7f4-c6f987354a87,171,195,766,790,1,1,1
36,36,36,7,10b7aa23-b903-447a-a7f4-c6f987354a87,87,111,596,620,1,1,1
37,37,37,7,a9482721-d3a7-43c3-9306-381d54863cf5,1611,1713,419,611,1,1,1
38,38,38,7,746ec795-a6c4-4a55-9c41-c880c5bc58f3,1588,1621,428,458,1,1,1
39,39,39,7,8d7d0233-b970-412f-8936-944259da39fb,1136,1175,194,230,0,0,0
40,40,40,7,c1e80261-71a8-4685-a961-40007c3e6153,1636,1642,11,17,1,1,1
41,41,41,8,10b7aa23-b903-447a-a7f4-c6f987354a87,218,350,669,798,1,1,0
42,42,42,8,10b7aa23-b903-447a-a7f4-c6f987354a87,252,267,703,718,1,1,1
43,43,43,8,10b7aa23-b903-447a-a7f4-c6f987354a87,154,172,543,564,1,1,1
44,44,44,8,8d7d0233-b970-412f-8936-944259da39fb,1674,1782,357,558,1,1,1
45,45,45,8,8d7d0233-b970-412f-8936-944259da39fb,1660,1696,361,397,1,1,1
46,46,46,8,8d7d0233-b970-412f-8936-944259da39fb,1216,1252,125,161,0,0,0
47,47,47,9,d9c8d30f-6601-4f91-9e5c-c0def44cc412,1471,1507,938,971,1,1,1
48,48,48,9,4d21ec66-4912-43bc-ba49-a2732460beb1,379,436,621,705,1,1,1
