filename,width,height,class,xmin,ymin,xmax,ymax
Tincion_Cut_Training_mp4-78_jpg.rf.f280999c1a68ed2bca9be83d886b8a4f.jpg,416,416,cyanobacteria,91,14,116,57
Tincion_Cut_Training_mp4-78_jpg.rf.f280999c1a68ed2bca9be83d886b8a4f.jpg,416,416,cyanobacteria,97,82,125,130
Tincion_Cut_Training_mp4-78_jpg.rf.f280999c1a68ed2bca9be83d886b8a4f.jpg,416,416,cyanobacteria,163,87,195,141
Tincion_Cut_Training_mp4-78_jpg.rf.f280999c1a68ed2bca9be83d886b8a4f.jpg,416,416,bubble,269,55,284,88
Tincion_Cut_Training_mp4-78_jpg.rf.f280999c1a68ed2bca9be83d886b8a4f.jpg,416,416,bubble,341,28,361,67
Tincion_Cut_Training_mp4-78_jpg.rf.f280999c1a68ed2bca9be83d886b8a4f.jpg,416,416,cyanobacteria,206,2,221,26
Tincion_Cut_Training_mp4-78_jpg.rf.f280999c1a68ed2bca9be83d886b8a4f.jpg,416,416,cyanobacteria,200,337,220,371
Tincion_Cut_Training_mp4-78_jpg.rf.f280999c1a68ed2bca9be83d886b8a4f.jpg,416,416,bubble,126,351,146,378
Tincion_Cut_Training_mp4-78_jpg.rf.f280999c1a68ed2bca9be83d886b8a4f.jpg,416,416,bubble,126,287,137,313
Tincion_Cut_Training_mp4-78_jpg.rf.f280999c1a68ed2bca9be83d886b8a4f.jpg,416,416,bubble,89,279,105,307
Tincion_Cut_Training_mp4-78_jpg.rf.f280999c1a68ed2bca9be83d886b8a4f.jpg,416,416,cyanobacteria,49,369,72,405
Tincion_Cut_Training_mp4-78_jpg.rf.f280999c1a68ed2bca9be83d886b8a4f.jpg,416,416,bubble,10,122,18,136
Tincion_Cut_Training_mp4-78_jpg.rf.f280999c1a68ed2bca9be83d886b8a4f.jpg,416,416,cyanobacteria,246,132,267,166
Tincion_Cut_Training_mp4-78_jpg.rf.f280999c1a68ed2bca9be83d886b8a4f.jpg,416,416,cyanobacteria,162,226,181,255
Tincion_Cut_Training_mp4-78_jpg.rf.f280999c1a68ed2bca9be83d886b8a4f.jpg,416,416,bubble,273,265,293,297
Tincion_Cut_Training_mp4-78_jpg.rf.f280999c1a68ed2bca9be83d886b8a4f.jpg,416,416,cyanobacteria,311,313,332,349
Tincion_Cut_Training_mp4-78_jpg.rf.f280999c1a68ed2bca9be83d886b8a4f.jpg,416,416,bubble,356,267,372,298
