Title,Company,Location,Url 
"Data Scientist, Gerencia Digital",Walmart Chile,"Quilicura, Santiago Metropolitan Region, Chile",https://cl.linkedin.com/jobs/view/data-scientist-gerencia-digital-at-walmart-chile-4114561016?position=1&pageNum=0&refId=SE0EGfkB9YZ0ZaOUf3pbVA%3D%3D&trackingId=A0HpbV2H48zmWbZaJqXKGQ%3D%3D
Machine Learning Engineer,Deloitte,"Santiago, Santiago Metropolitan Region, Chile",https://cl.linkedin.com/jobs/view/data-scientist-gerencia-digital-at-walmart-chile-4114561016?position=1&pageNum=0&refId=SE0EGfkB9YZ0ZaOUf3pbVA%3D%3D&trackingId=A0HpbV2H48zmWbZaJqXKGQ%3D%3D
Data Scientist,Cencosud S.A.,"Santiago, Santiago Metropolitan Region, Chile",https://cl.linkedin.com/jobs/view/data-scientist-gerencia-digital-at-walmart-chile-4114561016?position=1&pageNum=0&refId=SE0EGfkB9YZ0ZaOUf3pbVA%3D%3D&trackingId=A0HpbV2H48zmWbZaJqXKGQ%3D%3D
Data Science Junior,Fashion's Park S.A.,"Conchalí, Santiago Metropolitan Region, Chile",https://cl.linkedin.com/jobs/view/data-scientist-gerencia-digital-at-walmart-chile-4114561016?position=1&pageNum=0&refId=SE0EGfkB9YZ0ZaOUf3pbVA%3D%3D&trackingId=A0HpbV2H48zmWbZaJqXKGQ%3D%3D
Data Scientist,AltScore,Chile,https://cl.linkedin.com/jobs/view/data-scientist-gerencia-digital-at-walmart-chile-4114561016?position=1&pageNum=0&refId=SE0EGfkB9YZ0ZaOUf3pbVA%3D%3D&trackingId=A0HpbV2H48zmWbZaJqXKGQ%3D%3D
Data Scientist,Isapre Consalud,"Las Condes, Santiago Metropolitan Region, Chile",https://cl.linkedin.com/jobs/view/data-scientist-gerencia-digital-at-walmart-chile-4114561016?position=1&pageNum=0&refId=SE0EGfkB9YZ0ZaOUf3pbVA%3D%3D&trackingId=A0HpbV2H48zmWbZaJqXKGQ%3D%3D
Data science  JR (1) Senior(2),Fashion's Park S.A.,"Conchalí, Santiago Metropolitan Region, Chile",https://cl.linkedin.com/jobs/view/data-scientist-gerencia-digital-at-walmart-chile-4114561016?position=1&pageNum=0&refId=SE0EGfkB9YZ0ZaOUf3pbVA%3D%3D&trackingId=A0HpbV2H48zmWbZaJqXKGQ%3D%3D
Customer Data Scientist,Cencosud S.A.,"Las Condes, Santiago Metropolitan Region, Chile",https://cl.linkedin.com/jobs/view/data-scientist-gerencia-digital-at-walmart-chile-4114561016?position=1&pageNum=0&refId=SE0EGfkB9YZ0ZaOUf3pbVA%3D%3D&trackingId=A0HpbV2H48zmWbZaJqXKGQ%3D%3D
Data Scientist - Career,Equifax,"Las Condes, Santiago Metropolitan Region, Chile",https://cl.linkedin.com/jobs/view/data-scientist-gerencia-digital-at-walmart-chile-4114561016?position=1&pageNum=0&refId=SE0EGfkB9YZ0ZaOUf3pbVA%3D%3D&trackingId=A0HpbV2H48zmWbZaJqXKGQ%3D%3D
Data Scientist / Lider Bci,Lider Bci Servicios Financieros,"Santiago Metropolitan Region, Chile",https://cl.linkedin.com/jobs/view/data-scientist-gerencia-digital-at-walmart-chile-4114561016?position=1&pageNum=0&refId=SE0EGfkB9YZ0ZaOUf3pbVA%3D%3D&trackingId=A0HpbV2H48zmWbZaJqXKGQ%3D%3D
